FrameNumber, xAcc, yAcc, zAcc, xGyro, yGyro, zGyro
14, -0.873535, -0.028320, -0.500977, 0.000000, 0.000000, 0.305176, 0.000000
14, -0.874512, -0.028809, -0.509033, -0.213623, -0.030518, 0.244141, 0.000000
14, -0.876221, -0.030518, -0.502686, -0.228882, -0.045776, 0.305176, 0.000000
14, -0.870850, -0.027588, -0.507568, -0.228882, -0.228882, 0.396729, 0.000000
14, -0.871094, -0.032715, -0.509277, -0.183105, -0.320435, 0.503540, 0.000000
14, -0.872314, -0.028809, -0.510254, -0.198364, -0.396729, 0.427246, 0.000000
14, -0.866455, -0.028076, -0.516113, -0.213623, -0.534058, 0.488281, 0.000000
14, -0.873291, -0.031494, -0.510010, -0.137329, -0.534058, 0.640869, 0.000000
14, -0.868408, -0.029297, -0.509521, -0.213623, -0.549316, 0.823975, 0.000000
14, -0.871338, -0.028809, -0.509277, 0.122070, -0.549316, 0.854492, 0.000000
14, -0.871094, -0.027588, -0.508789, 0.061035, -0.808716, 0.915527, 0.000000
14, -0.873535, -0.027100, -0.502686, 0.213623, -0.762939, 1.037598, 0.000000
14, -0.874512, -0.026367, -0.506348, 0.122070, -0.656128, 1.083374, 0.000000
14, -0.872070, -0.024170, -0.502441, 0.030518, -0.762939, 1.098633, 0.000000
14, -0.871582, -0.025879, -0.499756, 0.137329, -0.823975, 1.022339, 0.000000
15, -0.866943, -0.019775, -0.494873, 0.076294, -0.823975, 1.083374, 0.000000
15, -0.867676, -0.019531, -0.500000, -0.183105, -0.839233, 1.174927, 0.000000
15, -0.872803, -0.016602, -0.500488, -0.259399, -0.839233, 1.190186, 0.000000
15, -0.869385, -0.017822, -0.490479, -0.381470, -1.007080, 1.174927, 0.000000
15, -0.866943, -0.015869, -0.499268, -0.503540, -0.808716, 1.098633, 0.000000
15, -0.867188, -0.018066, -0.499023, -0.625610, -0.625610, 1.022339, 0.000000
15, -0.872803, -0.015869, -0.492432, -0.625610, -0.595093, 0.946045, 0.000000
15, -0.872314, -0.011719, -0.487549, -0.579834, -0.381470, 1.052856, 0.000000
15, -0.872314, -0.008057, -0.491699, -0.747681, -0.183105, 1.022339, 0.000000
15, -0.874756, -0.011719, -0.494629, -0.900269, -0.167847, 0.778198, 0.000000
15, -0.869629, -0.014893, -0.496338, -0.823975, -0.183105, 0.640869, 0.000000
15, -0.871826, -0.013916, -0.489502, -0.732422, -0.274658, 0.701904, 0.000000
15, -0.871094, -0.019531, -0.495605, -0.854492, -0.137329, 0.579834, 0.000000
15, -0.871826, -0.022461, -0.492432, -0.854492, -0.061035, 0.442505, 0.000000
15, -0.869385, -0.021973, -0.492920, -0.915527, 0.122070, 0.442505, 0.000000
15, -0.868652, -0.014893, -0.494629, -0.656128, 0.137329, 0.427246, 0.000000
15, -0.866455, -0.022217, -0.494629, -0.518799, 0.030518, 0.534058, 0.000000
16, -0.864502, -0.019287, -0.499268, -0.427246, 0.259399, 0.320435, 0.000000
16, -0.870605, -0.023682, -0.495850, -0.350952, 0.244141, 0.534058, 0.000000
16, -0.865479, -0.021729, -0.495117, -0.152588, 0.228882, 0.503540, 0.000000
16, -0.870117, -0.024170, -0.498779, -0.122070, 0.244141, 0.305176, 0.000000
16, -0.870117, -0.023438, -0.497070, -0.030518, 0.183105, 0.183105, 0.000000
16, -0.868164, -0.028809, -0.497803, -0.015259, 0.152588, 0.198364, 0.000000
16, -0.867188, -0.026367, -0.493652, 0.167847, 0.198364, 0.366211, 0.000000
16, -0.867188, -0.027344, -0.493164, 0.366211, 0.167847, 0.366211, 0.000000
16, -0.863770, -0.031494, -0.504639, 0.610352, 0.167847, 0.289917, 0.000000
16, -0.866211, -0.029541, -0.500977, 0.457764, 0.091553, 0.335693, 0.000000
16, -0.868896, -0.030518, -0.501221, 0.488281, 0.198364, 0.595093, 0.000000
16, -0.866455, -0.027832, -0.497803, 0.473022, 0.183105, 0.640869, 0.000000
16, -0.867188, -0.029297, -0.502441, 0.534058, 0.106812, 0.625610, 0.000000
16, -0.865967, -0.026123, -0.497314, 0.732422, 0.015259, 0.534058, 0.000000
16, -0.867676, -0.026367, -0.499268, 0.793457, 0.015259, 0.595093, 0.000000
16, -0.869385, -0.026123, -0.497070, 0.610352, -0.015259, 0.701904, 0.000000
16, -0.863770, -0.024414, -0.494629, 0.137329, -0.137329, 0.778198, 0.000000
17, -0.869629, -0.027832, -0.494385, 0.122070, -0.213623, 0.579834, 0.000000
17, -0.866455, -0.020996, -0.497070, 0.152588, -0.122070, 0.747681, 0.000000
17, -0.868164, -0.023193, -0.489502, -0.122070, -0.381470, 0.793457, 0.000000
17, -0.866699, -0.020264, -0.491455, -0.274658, -0.335693, 0.793457, 0.000000
17, -0.869385, -0.019043, -0.490723, -0.045776, -0.106812, 0.762939, 0.000000
17, -0.867432, -0.016113, -0.492920, -0.015259, -0.167847, 0.701904, 0.000000
17, -0.865234, -0.018311, -0.490479, -0.061035, -0.076294, 0.549316, 0.000000
17, -0.868652, -0.015625, -0.483887, -0.137329, -0.183105, 0.534058, 0.000000
17, -0.865967, -0.012207, -0.482178, -0.213623, -0.015259, 0.473022, 0.000000
17, -0.866943, -0.014404, -0.480225, -0.183105, 0.259399, 0.381470, 0.000000
17, -0.867920, -0.013916, -0.485107, -0.259399, 0.366211, 0.274658, 0.000000
